timestamp,city,temperature,description
2026-05-25T03:29:31.632Z,London,17.09,clear sky
2026-05-25T08:17:49.987Z,London,24.86,clear sky
2026-05-25T12:58:54.893Z,London,32.26,clear sky
2026-05-25T16:20:50.484Z,London,32.3,clear sky
2026-05-25T19:24:46.023Z,London,28.16,clear sky
2026-05-25T21:02:27.526Z,London,25.12,clear sky
2026-05-25T22:58:03.484Z,London,22.02,clear sky
2026-05-26T02:49:53.826Z,London,18.25,clear sky
2026-05-26T07:41:44.093Z,London,25.4,clear sky
2026-05-26T15:00:15.975Z,London,34.01,clear sky
2026-05-26T18:23:13.778Z,London,31.72,clear sky
2026-05-26T21:41:18.467Z,London,25.25,clear sky
2026-05-26T23:06:20.151Z,London,24.13,clear sky
2026-05-27T03:27:38.013Z,London,18.9,clear sky
2026-05-27T07:59:29.950Z,London,20.43,clear sky
2026-05-27T15:32:25.469Z,London,24.84,clear sky
2026-05-27T18:23:55.182Z,London,20.85,clear sky
2026-05-27T21:51:55.939Z,London,16.56,clear sky
2026-05-27T23:14:28.308Z,London,15.57,clear sky
2026-05-28T02:48:31.127Z,London,15.26,broken clouds
2026-05-28T07:54:30.114Z,London,19.92,clear sky
